hcp_id,first_name,last_name,npi,specialty,email,phone,site_id,region,active_flag
HCP1000,Bianca,Lee,8263415718,Internal Medicine,alvaradojason@gmail.com,735-714-3217x8537,SITE28,South,N
HCP1001,Kristie,Allen,7693123862,Neurology,bryanmcdonald@gmail.com,954-663-6166,SITE2,South,Y
HCP1002,Adam,Marshall,2298166451,Oncology,watsonmichael@yahoo.com,001-206-241-2659,SITE16,South,N
HCP1003,Thomas,Jimenez,3736580802,Neurology,jonesbarbara@shah.com,+1-997-223-8721x24561,SITE3,East,Y
HCP1004,Brian,Pierce,8583748800,Endocrinology,leeerika@yahoo.com,424-736-1853,SITE3,West,N
HCP1005,Cody,Valdez,3812104401,Endocrinology,schultzmelissa@rios-williams.com,473.898.5502,SITE16,East,Y
HCP1006,Keith,Shelton,8135355747,Pediatrics,mcgeezachary@gmail.com,(125)150-7358,SITE26,West,N
HCP1007,Elizabeth,Pierce,4842667542,Endocrinology,erica43@yahoo.com,740.309.5770,SITE3,West,N
HCP1008,Joseph,Page,4083791600,Oncology,smithsara@hotmail.com,927-004-9119x758,SITE7,North,N
HCP1009,Jessica,Thomas,1791634701,Pediatrics,allenjay@hotmail.com,332-293-7203,SITE28,East,N
HCP1010,Paula,Mcmahon,3780751996,Neurology,cooksarah@ray.com,107-999-9146,SITE8,West,Y
HCP1011,Karen,Graves,4795023507,Neurology,phillipsjoe@carey.com,001-034-637-3362x927,SITE24,West,Y
HCP1012,Scott,Frost,8091273989,Neurology,markjohnson@fox-johnson.biz,(499)579-4074,SITE7,North,N
HCP1013,Christopher,Stanley,5889732185,Cardiology,dwilliams@smith.info,(126)745-3946x2287,SITE12,East,Y
HCP1014,Kenneth,Hall,2257314081,Oncology,marquezalex@burns.com,(573)271-6197,SITE19,South,Y
HCP1015,Connor,Weaver,6243959996,Neurology,emartin@hotmail.com,886.620.5910,SITE6,East,Y
HCP1016,George,Wilkins,9269864006,Endocrinology,allison93@hart.com,+1-371-927-7422,SITE13,East,N
HCP1017,Jacob,Porter,255818672,Endocrinology,hudsonharold@gmail.com,5024326335,SITE16,East,Y
HCP1018,Dylan,Frost,5731331922,Pediatrics,jeremy44@yahoo.com,622.061.8624x37793,SITE17,North,Y
HCP1019,David,Miller,3350414149,Cardiology,christinemason@hotmail.com,(095)912-3840x2065,SITE2,East,N
HCP1020,Yolanda,Gordon,6564561870,Cardiology,lisathompson@marshall-macdonald.com,751-675-0570x1559,SITE22,West,Y
HCP1021,Mark,Jones,7809587556,Pediatrics,jeffrey32@hotmail.com,288.449.1259,SITE6,South,N
HCP1022,Anthony,White,9934943645,Endocrinology,ashley26@hotmail.com,836.004.5335x21414,SITE3,South,N
HCP1023,Amanda,Hernandez,8667576977,Oncology,jacquelinerice@chen-ross.info,166-656-1914x48716,SITE13,North,Y
HCP1024,James,Smith,2098644844,Internal Medicine,meyereugene@watkins.info,245-213-9402,SITE18,East,N
HCP1025,Michael,Lawson,2797357713,Cardiology,santiagorobert@hotmail.com,001-083-237-1626x2689,SITE7,East,N
HCP1026,Mark,Mason,9010911809,Cardiology,phernandez@ortega-keller.com,+1-489-871-2172x33089,SITE9,South,N
HCP1027,Jennifer,Anderson,5170242546,Neurology,dmiller@lewis.net,151.354.2097x249,SITE7,West,Y
HCP1028,Charles,Smith,163918111,Internal Medicine,waltertara@erickson.com,+1-002-817-6417x5257,SITE26,East,Y
HCP1029,Becky,Ramsey,5315827301,Cardiology,conniecoleman@king.com,027.758.8417,SITE9,South,Y
HCP1030,Tara,Gomez,5382422041,Cardiology,mpeterson@morgan.com,169.898.7254,SITE21,West,N
HCP1031,Joel,Warren,5230378575,Pediatrics,tiffany27@dennis.net,(948)181-4298x0271,SITE19,North,N
HCP1032,John,Smith,8456405433,Endocrinology,tracymarshall@jenkins.net,001-689-526-7135,SITE26,East,N
HCP1033,Michelle,Romero,403365497,Pediatrics,xmendoza@hotmail.com,+1-972-529-1429x888,SITE7,East,N
HCP1034,Amy,Burgess,5379782698,Cardiology,wellsjesse@williamson-boyer.info,457-587-0858x962,SITE30,South,N
HCP1035,Rodney,Richardson,7061468306,Oncology,timothy98@yahoo.com,101-137-3530,SITE22,East,N
HCP1036,Adrian,Cobb,249265327,Neurology,lking@yahoo.com,150.298.0721x676,SITE21,North,Y
HCP1037,Hayley,Pitts,8789291803,Internal Medicine,darrellmoore@shaw-zhang.com,(321)639-7927x75548,SITE3,South,Y
HCP1038,Mary,Newman,5495106470,Pediatrics,gblack@hotmail.com,873.606.1710,SITE4,South,N
HCP1039,Robin,Nicholson,6209318168,Cardiology,tinajohnson@gmail.com,9533799389,SITE12,North,N
HCP1040,Laura,Winters,6447526844,Pediatrics,dominiquemartin@gmail.com,5085551125,SITE7,East,Y
HCP1041,Dana,Macdonald,9533868253,Endocrinology,rreynolds@rodriguez.com,(688)996-7377x119,SITE15,East,N
HCP1042,Gerald,Wolfe,176885019,Pediatrics,griffinjoshua@hotmail.com,001-910-012-6613x115,SITE10,East,Y
